GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
etudiant-backend,com.openclassrooms.etudiant,EtudiantBackendApplication,5,3,0,0,2,1,1,1,1,1
etudiant-backend,com.openclassrooms.etudiant.controller,UserController,0,23,0,0,0,4,0,2,0,2
etudiant-backend,com.openclassrooms.etudiant.controller,StudentController,0,36,0,0,0,9,0,5,0,5
etudiant-backend,com.openclassrooms.etudiant.configuration,AppConfig,0,15,0,0,0,4,0,2,0,2
etudiant-backend,com.openclassrooms.etudiant.configuration.logging,RequestLoggingFilterConfig,0,24,0,0,0,8,0,2,0,2
etudiant-backend,com.openclassrooms.etudiant.service,UserService,5,77,2,4,1,16,2,4,0,3
etudiant-backend,com.openclassrooms.etudiant.service,JwtService,0,19,0,0,0,4,0,2,0,2
etudiant-backend,com.openclassrooms.etudiant.service,StudentService,21,85,0,0,6,20,3,5,3,5
etudiant-backend,com.openclassrooms.etudiant.configuration.security,SpringSecurityConfig,6,101,0,0,1,24,1,11,1,11
etudiant-backend,com.openclassrooms.etudiant.configuration.security,CustomUserDetailService,15,0,0,0,2,0,2,0,2,0
